source_id,publisher,source_tier,data_as_of,data_as_of_basis,published_at,retrieved_at,publication_lag_days,archival_lag_days,total_visibility_lag_days,raw_archive_status,latency_status
who-don602-2026-05-15-live,World Health Organization,official_who,,,2026-05-15T00:00:00Z,2026-05-20T05:42:36Z,,,,public_bytes,missing_data_as_of
who-pheic-2026-05-17-live,World Health Organization,official_who,,,2026-05-17T00:00:00Z,2026-05-20T22:00:00Z,,,,public_bytes,missing_data_as_of
africa-cdc-phecs-2026-05-18-live,Africa Centres for Disease Control and Prevention,official_continental_body,,,2026-05-18T00:00:00Z,2026-05-20T20:41:00Z,,,,private_restricted_bytes,missing_data_as_of
afro-sitrep-01-2026-05-18-live,"World Health Organization, Regional Office for Africa",official_who_afro,2026-05-18,data_as_of,2026-05-18T00:00:00Z,2026-05-20T22:00:00Z,0,2,2,public_bytes,measured
afro-sitrep-01-pdf-2026-05-18-live,"World Health Organization, Regional Office for Africa",official_who_afro,2026-05-18,data_as_of,2026-05-18T00:00:00Z,2026-05-21T18:30:00Z,0,3,3,private_restricted_bytes,measured
imperial-mrc-gida-bdbv-2026-05-18,"Imperial College London, MRC Centre for Global Infectious Disease Analysis (with WHO Health Emergencies Programme, WHO Uganda, WHO Regional Office for Africa)",academic_collab_who,,,2026-05-18T00:00:00Z,2026-05-20T22:00:00Z,,,,private_restricted_bytes,missing_data_as_of
imperial-mrc-gida-bdbv-2026-05-18-pdf-live,"Imperial College London, MRC Centre for Global Infectious Disease Analysis (with WHO HEP/Uganda/AFRO)",academic_collab_who,,,2026-05-18T00:00:00Z,2026-05-21T18:30:00Z,,,,private_restricted_bytes,missing_data_as_of
cdc-han-00530-2026-05,"US Centers for Disease Control and Prevention, Health Alert Network",official_cdc,,,2026-05-19T00:00:00Z,2026-05-20T22:00:00Z,,,,public_bytes,missing_data_as_of
ecdc-bdbv-drc-uga-2026-05-19-live,European Centre for Disease Prevention and Control,regional_body,,,2026-05-19T00:00:00Z,2026-05-21T00:55:53Z,,,,public_bytes,missing_data_as_of
cdc-current-situation-2026-05-20,US Centers for Disease Control and Prevention,official_cdc,2026-05-19,data_as_of,2026-05-20T00:00:00Z,2026-05-21T17:11:29Z,1,1,2,public_bytes,measured
imperial-mrc-gida-bdbv-2026-05-20-live,"Imperial College London, MRC Centre for Global Infectious Disease Analysis (with WHO HEP/Uganda/AFRO)",academic_collab_who,,,2026-05-20T00:00:00Z,2026-05-21T18:30:00Z,,,,private_restricted_bytes,missing_data_as_of
who-dg-remarks-bdbv-2026-05-20,World Health Organization,official_who,,,2026-05-20T00:00:00Z,2026-05-21T00:00:00Z,,,,public_bytes,missing_data_as_of
wikipedia-2026-ituri-epidemic-2026-05-20-live,Wikipedia contributors (consensus aggregator),aggregator,2026-05-20,as_of_date,2026-05-20T00:00:00Z,2026-05-20T20:41:30Z,0,0,0,public_bytes,measured
apnews-south-kivu-m23-claim-2026-05-21-live,Associated Press,unknown,,,2026-05-21T00:00:00Z,2026-05-22T06:50:53Z,,,,private_restricted_bytes,missing_data_as_of
cdc-current-situation-2026-05-21,US Centers for Disease Control and Prevention,official_cdc,2026-05-21,data_as_of,2026-05-21T00:00:00Z,2026-05-21T23:00:04Z,0,0,0,public_bytes,measured
cdc-returning-travelers-info-2026-05-21-live,US Centers for Disease Control and Prevention,official_cdc,,,2026-05-21T00:00:00Z,2026-05-22T04:35:00Z,,,,public_bytes,missing_data_as_of
cdc-traveler-management-guidance-2026-05-21-pdf,US Centers for Disease Control and Prevention,official_cdc,2026-05-21,evidence_as_of,2026-05-21T00:00:00Z,2026-05-22T04:35:00Z,0,1,1,public_bytes,measured
ecdc-threat-assessment-bdbv-2026-05-21-pdf,European Centre for Disease Prevention and Control,regional_body,2026-05-20,data_as_of,2026-05-21T00:00:00Z,2026-05-22T04:35:00Z,1,1,2,public_bytes,measured
enca-south-kivu-m23-claim-2026-05-21-live,eNCA / AFP,unknown,,,2026-05-21T00:00:00Z,2026-05-22T06:50:53Z,,,,private_restricted_bytes,missing_data_as_of
ifrc-regional-risk-response-2026-05-21-live,International Federation of Red Cross and Red Crescent Societies,unknown,,,2026-05-21T00:00:00Z,2026-05-22T06:50:53Z,,,,private_restricted_bytes,missing_data_as_of
paho-who-epialert-bdbv-2026-05-21-pdf,Pan American Health Organization / World Health Organization,official_who,,,2026-05-21T00:00:00Z,2026-05-22T04:35:00Z,,,,private_restricted_bytes,missing_data_as_of
uk-gov-ebola-eastern-drc-support-2026-05-21-live,"UK Foreign, Commonwealth & Development Office / UK Health Security Agency",national_moh,,,2026-05-21T00:00:00Z,2026-05-22T04:35:00Z,,,,public_bytes,missing_data_as_of
who-afro-zambia-readiness-2026-05-21-live,"World Health Organization, Regional Office for Africa",official_who_afro,,,2026-05-21T00:00:00Z,2026-05-22T04:35:00Z,,,,public_bytes,missing_data_as_of
who-don603-2026-05-21-live,World Health Organization,official_who,2026-05-21,data_as_of,2026-05-21T00:00:00Z,2026-05-23T19:21:01Z,0,2,2,public_bytes,measured
