source_id,publisher,source_tier,published_at,retrieved_at,country_scope,license,raw_archive_status,content_hash,url
who-don602-2026-05-15-live,World Health Organization,official_who,2026-05-15T00:00:00Z,2026-05-20T05:42:36Z,COD|UGA,CC-BY-NC-SA-3.0-IGO,public_bytes,8b7fb1e1c8403b7a6015c804a3cd818c04b649ca23d791fe957e59119818218f,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON602
who-pheic-2026-05-17-live,World Health Organization,official_who,2026-05-17T00:00:00Z,2026-05-20T22:00:00Z,COD|UGA,CC-BY-NC-SA-3.0-IGO,public_bytes,e1f8ea89d80de061e8f79bb8e60d96bd98d68ddf676bad9ef03469adf536dd51,https://www.who.int/news/item/17-05-2026-epidemic-of-ebola-disease-in-the-democratic-republic-of-the-congo-and-uganda-determined-a-public-health-emergency-of-international-concern
africa-cdc-phecs-2026-05-18-live,Africa Centres for Disease Control and Prevention,official_continental_body,2026-05-18T00:00:00Z,2026-05-20T20:41:00Z,COD|UGA,publisher-terms-not-confirmed,private_restricted_bytes,4efa5e02df04e766353f9af62e6f87a1fca21936aa287772bae5ba5932e20c8b,https://africacdc.org/news-item/africa-cdc-declares-the-ongoing-bundibugyo-ebola-outbreak-a-public-health-emergency-of-continental-security/
afro-sitrep-01-2026-05-18-live,"World Health Organization, Regional Office for Africa",official_who_afro,2026-05-18T00:00:00Z,2026-05-20T22:00:00Z,COD|UGA,CC-BY-NC-SA-3.0-IGO,public_bytes,56a9f829090ae2823a155c04b53a8cc28a4f0e99006f1fe483245d4b02938a64,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation
afro-sitrep-01-pdf-2026-05-18-live,"World Health Organization, Regional Office for Africa",official_who_afro,2026-05-18T00:00:00Z,2026-05-21T18:30:00Z,COD|UGA,CC-BY-NC-SA-3.0-IGO,private_restricted_bytes,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation
imperial-mrc-gida-bdbv-2026-05-18,"Imperial College London, MRC Centre for Global Infectious Disease Analysis (with WHO Health Emergencies Programme, WHO Uganda, WHO Regional Office for Africa)",academic_collab_who,2026-05-18T00:00:00Z,2026-05-20T22:00:00Z,COD|UGA,CC-BY-NC-ND-4.0,private_restricted_bytes,647610bf3450407ec3313e2a17642b0ee9cbec7f14c72665318993f06acaf8b4,https://www.imperial.ac.uk/mrc-global-infectious-disease-analysis/research-themes/preparedness-and-response-to-emerging-threats/report-ebola-18-05-2026/
imperial-mrc-gida-bdbv-2026-05-18-pdf-live,"Imperial College London, MRC Centre for Global Infectious Disease Analysis (with WHO HEP/Uganda/AFRO)",academic_collab_who,2026-05-18T00:00:00Z,2026-05-21T18:30:00Z,COD|UGA,CC-BY-NC-ND-4.0,private_restricted_bytes,750edd9df5e4ec714d9c6557f4e1f1fc06f5cedddfbc10eddcae6a762bd068ea,https://www.imperial.ac.uk/mrc-global-infectious-disease-analysis/research-themes/preparedness-and-response-to-emerging-threats/report-ebola-18-05-2026/
cdc-han-00530-2026-05,"US Centers for Disease Control and Prevention, Health Alert Network",official_cdc,2026-05-19T00:00:00Z,2026-05-20T22:00:00Z,COD|UGA,public-domain-us-gov,public_bytes,039a988227d240a466321d79f550e3af70f1b18db60b6627e55ee15535a25c6a,https://www.cdc.gov/han/php/notices/han00530.html
ecdc-bdbv-drc-uga-2026-05-19-live,European Centre for Disease Prevention and Control,regional_body,2026-05-19T00:00:00Z,2026-05-21T00:55:53Z,COD|UGA,CC-BY-4.0,public_bytes,3fd9968b77caa5b86de241c556c0d425bbd9f4ba5a83b59dbab0fce8304382d8,https://www.ecdc.europa.eu/en/ebola-virus-disease-outbreak-democratic-republic-congo-and-uganda-19-may-2026
cdc-current-situation-2026-05-20,US Centers for Disease Control and Prevention,official_cdc,2026-05-20T00:00:00Z,2026-05-21T17:11:29Z,COD|UGA,public-domain-us-gov,public_bytes,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,https://www.cdc.gov/ebola/situation-summary/index.html
