zone_id,source_id,source_data_date,confirmed,suspected,confirmed_deaths,suspected_deaths,source_row_status
aru,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,2,0,1,1,present_with_data;suspected_revision_capped
bambu,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,2,0,2,3,present_with_data;suspected_revision_capped
bunia,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,80,0,8,57,present_with_data;suspected_revision_capped
butembo,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,5,0,2,0,present_with_data;suspected_revision_capped
damas,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,1,0,0,0,present_with_data;suspected_revision_capped
goma-cod,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,1,0,0,0,present_with_data;suspected_revision_capped
karisimbi-cod,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,0,0,0,0,present_but_zero;suspected_revision_capped
katwa,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,4,0,3,0,present_with_data;suspected_revision_capped
kilo,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,2,0,0,2,present_with_data;suspected_revision_capped
komanda,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,1,0,0,0,present_with_data;suspected_revision_capped
mambasa,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,0,0,0,0,present_but_zero;suspected_revision_capped
miti-murhesa,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,3,0,1,0,present_with_data;suspected_revision_capped
mongbwalu,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,47,0,10,88,present_with_data;suspected_revision_capped
nizi,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,2,0,0,2,present_with_data;suspected_revision_capped
nyankunde,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,19,0,1,12,present_with_data;suspected_revision_capped
oicha,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,1,0,0,0,present_with_data;suspected_revision_capped
rimba,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,0,0,0,0,present_but_zero;suspected_revision_capped
rwampara,inrb-umie-ebola-drc-2026-build-2026-06-01-b4cafc9,2026-05-29,65,0,13,71,present_with_data;suspected_revision_capped
