zone_id,source_id,source_data_date,confirmed,confirmed_deaths,source_row_status
adja,inrb-sitrep-066-2026-07-19,2026-07-19,10,1,present_with_data
ariwara,inrb-sitrep-066-2026-07-19,2026-07-19,7,1,present_with_data
aru,inrb-sitrep-066-2026-07-19,2026-07-19,4,1,present_with_data
aungba,inrb-sitrep-066-2026-07-19,2026-07-19,6,2,present_with_data
bambu,inrb-sitrep-066-2026-07-19,2026-07-19,40,14,present_with_data
beni-cod,inrb-sitrep-066-2026-07-19,2026-07-19,37,25,present_with_data
boga,inrb-sitrep-066-2026-07-19,2026-07-19,1,1,present_with_data
boma-mangbetu,inrb-sitrep-066-2026-07-19,2026-07-19,4,2,present_with_data
bunia,inrb-sitrep-066-2026-07-19,2026-07-19,639,211,present_with_data
butembo,inrb-sitrep-066-2026-07-19,2026-07-19,58,30,present_with_data
damas,inrb-sitrep-066-2026-07-19,2026-07-19,7,0,present_with_data
drodro,inrb-sitrep-066-2026-07-19,2026-07-19,5,3,present_with_data
fataki,inrb-sitrep-066-2026-07-19,2026-07-19,11,7,present_with_data
gety,inrb-sitrep-066-2026-07-19,2026-07-19,1,0,present_with_data
goma-cod,inrb-sitrep-066-2026-07-19,2026-07-19,1,0,present_with_data
isiro,inrb-sitrep-066-2026-07-19,2026-07-19,3,2,present_with_data
kalunguta,inrb-sitrep-066-2026-07-19,2026-07-19,2,1,present_with_data
kambala,inrb-sitrep-066-2026-07-19,2026-07-19,2,2,present_with_data
katwa,inrb-sitrep-066-2026-07-19,2026-07-19,104,72,present_with_data
kilo,inrb-sitrep-066-2026-07-19,2026-07-19,11,3,present_with_data
komanda,inrb-sitrep-066-2026-07-19,2026-07-19,27,10,present_with_data
kyondo,inrb-sitrep-066-2026-07-19,2026-07-19,9,4,present_with_data
lita,inrb-sitrep-066-2026-07-19,2026-07-19,78,27,present_with_data
logo,inrb-sitrep-066-2026-07-19,2026-07-19,8,1,present_with_data
lolwa,inrb-sitrep-066-2026-07-19,2026-07-19,2,1,present_with_data
lubunga,inrb-sitrep-066-2026-07-19,2026-07-19,1,0,present_with_data
mabalako,inrb-sitrep-066-2026-07-19,2026-07-19,1,0,present_with_data
mahagi-cod,inrb-sitrep-066-2026-07-19,2026-07-19,1,0,present_with_data
makiso-kisangani-cod,inrb-sitrep-066-2026-07-19,2026-07-19,3,3,present_with_data
mambasa,inrb-sitrep-066-2026-07-19,2026-07-19,8,6,present_with_data
mandima,inrb-sitrep-066-2026-07-19,2026-07-19,9,4,present_with_data
mangala,inrb-sitrep-066-2026-07-19,2026-07-19,61,38,present_with_data
mangobo,inrb-sitrep-066-2026-07-19,2026-07-19,1,1,present_with_data
masereka,inrb-sitrep-066-2026-07-19,2026-07-19,3,0,present_with_data
miti-murhesa,inrb-sitrep-066-2026-07-19,2026-07-19,3,1,present_with_data
mongbwalu,inrb-sitrep-066-2026-07-19,2026-07-19,363,203,present_with_data
musienene,inrb-sitrep-066-2026-07-19,2026-07-19,19,5,present_with_data
nia-nia,inrb-sitrep-066-2026-07-19,2026-07-19,51,15,present_with_data
nizi,inrb-sitrep-066-2026-07-19,2026-07-19,214,93,present_with_data
nyankunde,inrb-sitrep-066-2026-07-19,2026-07-19,99,28,present_with_data
oicha,inrb-sitrep-066-2026-07-19,2026-07-19,4,3,present_with_data
pawa,inrb-sitrep-066-2026-07-19,2026-07-19,3,3,present_with_data
rimba,inrb-sitrep-066-2026-07-19,2026-07-19,5,0,present_with_data
rwampara,inrb-sitrep-066-2026-07-19,2026-07-19,450,133,present_with_data
tchomia,inrb-sitrep-066-2026-07-19,2026-07-19,23,6,present_with_data
vuhovi,inrb-sitrep-066-2026-07-19,2026-07-19,1,1,present_with_data
wamba,inrb-sitrep-066-2026-07-19,2026-07-19,6,3,present_with_data
