lovs_zone_id,inrb_canonical_nom,as_of_data_date,confirmed,confirmed_deaths,present_in_insp_classification,inrb_collapsed_from,source_id,method_basis
adja,Adja,2026-09-20,11,1,present_with_data,"[""Adja""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
ariwara,Ariwara,2026-09-20,8,2,present_with_data,"[""Ariwara""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
aru,Aru,2026-09-20,8,6,present_with_data,"[""Aru""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
aungba,Aungba,2026-09-20,12,5,present_with_data,"[""Aungba""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
bafwasende,Bafwasende,2026-09-20,7,1,present_with_data,"[""Bafwasende""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
bambu,Bambu,2026-09-20,196,40,present_with_data,"[""Bambu""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
beni-cod,Beni,2026-09-20,281,197,present_with_data,"[""Beni""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
biena,Biena,2026-09-20,18,7,present_with_data,"[""Biena""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
boga,Boga,2026-09-20,2,2,present_with_data,"[""Boga""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
boma-mangbetu,Boma Mangbetu,2026-09-20,36,15,present_with_data,"[""Boma Mangbetu""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
bulu,Bulu,2026-09-20,1,1,present_with_data,"[""Bulu""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
bunia,Bunia,2026-09-20,1662,520,present_with_data,"[""Bunia""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
buta,Buta,2026-09-20,1,1,present_with_data,"[""Buta""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
butembo,Butembo,2026-09-20,252,161,present_with_data,"[""Butembo""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
damas,Damas,2026-09-20,40,9,present_with_data,"[""Damas""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
drodro,Drodro,2026-09-20,15,7,present_with_data,"[""Drodro""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
