row_id,clock_type,date_value,timestamp_value,source_id,source_role,source_tier,status,note
snapshot:analytic_as_of,analytic_as_of,2026-05-24,2026-05-24T23:59:59Z,,model_cutoff,,recorded,Analytic cutoff used by the generated model outputs.
snapshot:publication_cutoff,snapshot_date,2026-05-24,,,knowledge_state_cutoff,,derived_from_manifest,Latest source-publication date admitted to this working snapshot state.
snapshot:generated_at,generated_at,,,,artifact_generation,,not_recorded,The current pinned pipeline output does not record an artifact-generation timestamp.
source_data_report_date:who-don602-2026-05-15-live,source_data_report_date,2026-05-15,,who-don602-2026-05-15-live,,official_who,recorded,Data/report date the source says the observation describes.
source_publication_date:who-don602-2026-05-15-live,source_publication_date,2026-05-15,,who-don602-2026-05-15-live,,official_who,recorded,Date the source made the observation available.
source_retrieval_date:who-don602-2026-05-15-live,source_retrieval_date,2026-05-20,2026-05-20T05:42:36Z,who-don602-2026-05-15-live,,official_who,recorded,Archive capture timestamp for this source edition.
source_data_report_date:africa-cdc-phecs-2026-05-18-live,source_data_report_date,2026-05-18,,africa-cdc-phecs-2026-05-18-live,,official_continental_body,recorded,Data/report date the source says the observation describes.
source_publication_date:africa-cdc-phecs-2026-05-18-live,source_publication_date,2026-05-18,,africa-cdc-phecs-2026-05-18-live,,official_continental_body,recorded,Date the source made the observation available.
source_retrieval_date:africa-cdc-phecs-2026-05-18-live,source_retrieval_date,2026-05-20,2026-05-20T20:41:00Z,africa-cdc-phecs-2026-05-18-live,,official_continental_body,recorded,Archive capture timestamp for this source edition.
source_data_report_date:wikipedia-2026-ituri-epidemic-2026-05-20-live,source_data_report_date,2026-05-20,,wikipedia-2026-ituri-epidemic-2026-05-20-live,,aggregator,recorded,Data/report date the source says the observation describes.
source_publication_date:wikipedia-2026-ituri-epidemic-2026-05-20-live,source_publication_date,2026-05-20,,wikipedia-2026-ituri-epidemic-2026-05-20-live,,aggregator,recorded,Date the source made the observation available.
source_retrieval_date:wikipedia-2026-ituri-epidemic-2026-05-20-live,source_retrieval_date,2026-05-20,2026-05-20T20:41:30Z,wikipedia-2026-ituri-epidemic-2026-05-20-live,,aggregator,recorded,Archive capture timestamp for this source edition.
source_data_report_date:afro-sitrep-01-2026-05-18-live,source_data_report_date,2026-05-18,,afro-sitrep-01-2026-05-18-live,,official_who_afro,recorded,Data/report date the source says the observation describes.
source_publication_date:afro-sitrep-01-2026-05-18-live,source_publication_date,2026-05-18,,afro-sitrep-01-2026-05-18-live,,official_who_afro,recorded,Date the source made the observation available.
source_retrieval_date:afro-sitrep-01-2026-05-18-live,source_retrieval_date,2026-05-20,2026-05-20T22:00:00Z,afro-sitrep-01-2026-05-18-live,,official_who_afro,recorded,Archive capture timestamp for this source edition.
source_data_report_date:cdc-han-00530-2026-05,source_data_report_date,2026-05-19,,cdc-han-00530-2026-05,,official_cdc,recorded,Data/report date the source says the observation describes.
source_publication_date:cdc-han-00530-2026-05,source_publication_date,2026-05-19,,cdc-han-00530-2026-05,,official_cdc,recorded,Date the source made the observation available.
source_retrieval_date:cdc-han-00530-2026-05,source_retrieval_date,2026-05-20,2026-05-20T22:00:00Z,cdc-han-00530-2026-05,,official_cdc,recorded,Archive capture timestamp for this source edition.
