row_id,date,metric,value,unit,source_id,evidence_ref,source_url,archive_sha256,license,note
timeline:who-don602-2026-05-15-live:cases_confirmed,2026-05-15,confirmed_cases,4,count,who-don602-2026-05-15-live,source_manifest:who-don602-2026-05-15-live,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON602,8b7fb1e1c8403b7a6015c804a3cd818c04b649ca23d791fe957e59119818218f,CC-BY-NC-SA-3.0-IGO,
timeline:who-don602-2026-05-15-live:deaths,2026-05-15,deaths,80,count,who-don602-2026-05-15-live,source_manifest:who-don602-2026-05-15-live,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON602,8b7fb1e1c8403b7a6015c804a3cd818c04b649ca23d791fe957e59119818218f,CC-BY-NC-SA-3.0-IGO,
timeline:who-don602-2026-05-15-live:cases_suspected,2026-05-15,suspected_cases,246,count,who-don602-2026-05-15-live,source_manifest:who-don602-2026-05-15-live,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON602,8b7fb1e1c8403b7a6015c804a3cd818c04b649ca23d791fe957e59119818218f,CC-BY-NC-SA-3.0-IGO,
timeline:who-pheic-2026-05-17-live:cases_confirmed,2026-05-17,confirmed_cases,10,count,who-pheic-2026-05-17-live,source_manifest:who-pheic-2026-05-17-live,https://www.who.int/news/item/17-05-2026-epidemic-of-ebola-disease-in-the-democratic-republic-of-the-congo-and-uganda-determined-a-public-health-emergency-of-international-concern,e1f8ea89d80de061e8f79bb8e60d96bd98d68ddf676bad9ef03469adf536dd51,CC-BY-NC-SA-3.0-IGO,WHO PHEIC reports 8 Ituri + 2 Kampala; Kinshasa case tested negative and is not counted.
timeline:who-pheic-2026-05-17-live:deaths,2026-05-17,deaths,80,count,who-pheic-2026-05-17-live,source_manifest:who-pheic-2026-05-17-live,https://www.who.int/news/item/17-05-2026-epidemic-of-ebola-disease-in-the-democratic-republic-of-the-congo-and-uganda-determined-a-public-health-emergency-of-international-concern,e1f8ea89d80de061e8f79bb8e60d96bd98d68ddf676bad9ef03469adf536dd51,CC-BY-NC-SA-3.0-IGO,
timeline:who-pheic-2026-05-17-live:cases_suspected,2026-05-17,suspected_cases,246,count,who-pheic-2026-05-17-live,source_manifest:who-pheic-2026-05-17-live,https://www.who.int/news/item/17-05-2026-epidemic-of-ebola-disease-in-the-democratic-republic-of-the-congo-and-uganda-determined-a-public-health-emergency-of-international-concern,e1f8ea89d80de061e8f79bb8e60d96bd98d68ddf676bad9ef03469adf536dd51,CC-BY-NC-SA-3.0-IGO,
timeline:imperial-mrc-gida-bdbv-2026-05-18-pdf-live:cfr_central,2026-05-18,cfr_central,0.3,count,imperial-mrc-gida-bdbv-2026-05-18-pdf-live,source_manifest:imperial-mrc-gida-bdbv-2026-05-18-pdf-live,https://www.imperial.ac.uk/mrc-global-infectious-disease-analysis/research-themes/preparedness-and-response-to-emerging-threats/report-ebola-18-05-2026/,750edd9df5e4ec714d9c6557f4e1f1fc06f5cedddfbc10eddcae6a762bd068ea,CC-BY-NC-ND-4.0,
timeline:africa-cdc-phecs-2026-05-18-live:cases_confirmed_uga,2026-05-18,confirmed_cases,2,count,africa-cdc-phecs-2026-05-18-live,source_manifest:africa-cdc-phecs-2026-05-18-live,https://africacdc.org/news-item/africa-cdc-declares-the-ongoing-bundibugyo-ebola-outbreak-a-public-health-emergency-of-continental-security/,4efa5e02df04e766353f9af62e6f87a1fca21936aa287772bae5ba5932e20c8b,publisher-terms-not-confirmed,
timeline:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.bunia.confirmed,2026-05-18,confirmed_cases,6,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.butembo.confirmed,2026-05-18,confirmed_cases,1,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
